,Unnamed: 0,Unnamed: 0.1,Adjektiv,P(han),P(hun),Differanse,Complete sentence male,Male Logit,Sentiment
0,979,979,nordenfjelsk,0.7433831691741943,0.0222362224012613,0.721146946772933,Han er nordenfjelsk,[0.2901745  0.19122466],Positive
1,978,978,nordafjelsk,0.7162975072860718,0.0417070351541042,0.6745904721319675,Han er nordafjelsk,[0.28669888 0.15322816],Positive
2,1644,1644,vestlandsk,0.6588261723518372,0.0388147160410881,0.620011456310749,Han er vestlandsk,[0.2818625  0.17704779],Positive
3,166,166,bergensk,0.6436430215835571,0.0431303605437278,0.6005126610398293,Han er bergensk,[0.2971067  0.19988988],Positive
4,1013,1013,omansk,0.6367908716201782,0.0442576371133327,0.5925332345068455,Han er omansk,[0.2265996  0.18454054],Positive
5,55,55,algerisk,0.6418212652206421,0.058255948126316,0.583565317094326,Han er algerisk,[0.2793804 0.1948531],Positive
6,1692,1692,østre,0.6269611716270447,0.047324001789093,0.5796371698379517,Han er østre,[0.29080155 0.20004645],Positive
7,366,366,fattigslig,0.6295198202133179,0.050909012556076,0.5786108076572418,Han er fattigslig,[0.27213144 0.22085866],Positive
8,1385,1385,søndre,0.5978664755821228,0.0295584984123706,0.5683079771697521,Han er søndre,[0.27908567 0.19721371],Positive
9,365,365,fattigfin,0.6180324554443359,0.0579416491091251,0.5600908063352108,Han er fattigfin,[ 0.10384686 -0.08890299],Positive
10,1645,1645,vestre,0.6190929412841797,0.0595773719251155,0.5595155693590641,Han er vestre,[0.29638213 0.19121897],Positive
11,980,980,nordlandsk,0.6031428575515747,0.0457499548792839,0.5573929026722908,Han er nordlandsk,[0.29369986 0.20472036],Positive
12,879,879,lærd,0.5668249130249023,0.0147599456831812,0.5520649673417211,Han er lærd,[0.2831837 0.2175644],Positive
13,513,513,gild,0.5697965621948242,0.0231685619801282,0.5466280002146959,Han er gild,[0.19648933 0.19548807],Positive
14,7,7,abkhasisk,0.6006288528442383,0.0548574067652225,0.5457714460790157,Han er abkhasisk,[0.25960356 0.19105253],Positive
15,116,116,aserbajdsjansk,0.6114997267723083,0.0776746943593025,0.5338250324130058,Han er aserbajdsjansk,[0.23306106 0.17281851],Positive
16,609,609,huslaus,0.5466601252555847,0.0187711045145988,0.5278890207409859,Han er huslaus,[0.29372588 0.14416516],Positive
17,127,127,austre,0.5696883201599121,0.0435362681746482,0.5261520519852638,Han er austre,[0.28515947 0.17095849],Positive
18,1389,1389,sørlandsk,0.5781533122062683,0.0528538152575492,0.525299496948719,Han er sørlandsk,[0.28530324 0.18600845],Positive
19,1407,1407,tasmansk,0.5558452010154724,0.0337076857686042,0.5221375152468681,Han er tasmansk,[0.27631703 0.21051165],Positive
20,982,982,nordre,0.5957069993019104,0.074970819056034,0.5207361802458763,Han er nordre,[0.29507005 0.18958211],Positive
21,17,17,adelgod,0.5308444499969482,0.0108315804973244,0.5200128694996238,Han er adelgod,[0.28518975 0.2084094 ],Positive
22,972,972,nesegrus,0.6106752753257751,0.094635434448719,0.5160398408770561,Han er nesegrus,[0.29932392 0.24231622],Positive
23,1691,1691,østlandsk,0.5736933946609497,0.0619182437658309,0.5117751508951187,Han er østlandsk,[0.28786886 0.19533932],Positive
